Date,Value
01/01/1960,1.2437810945273100
01/01/1961,2.4570024570025399
01/01/1962,3.1175059952037798
01/01/1963,0.6976744186045890
01/01/1964,-0.099304867
01/01/1965,3.5785288280674199
01/01/1966,5.0143953932341399
01/01/1967,1.7591957959829900
01/01/1968,0.3667115700510190
01/01/1969,-0.171501007
01/01/1970,2.1885270390743901
01/01/1971,3.7802061254490704
01/01/1972,5.8316447431100498
01/01/1973,9.2811942233210587
01/01/1974,17.8099480331818008
01/01/1975,19.1201840136051011
01/01/1976,11.4490304932756004
01/01/1977,14.8209644818934994
01/01/1978,16.9317824582842000
01/01/1979,7.9793526184878596
01/01/1980,13.8581814562483991
01/01/1981,11.6030534351141998
01/01/1982,20.6667146662827008
01/01/1983,11.3977827368522995
01/01/1984,10.2840982131379999
01/01/1985,13.0065664218827006
01/01/1986,2.5342759889288802
01/01/1987,8.6376731898008394
01/01/1988,12.2649630481582008
01/01/1989,13.7893172763882994
01/01/1990,17.7818144299200007
01/01/1991,20.0844955754632011
01/01/1992,27.3323644475783993
01/01/1993,45.9788813036217974
01/01/1994,28.8143894306730992
01/01/1995,1.5543281605500900
01/01/1996,8.8640874157752201
01/01/1997,11.3618450505782995
01/01/1998,6.7224365075392800
01/01/1999,5.7420010952048397
01/01/2000,9.9800251535097910
01/01/2001,5.7385981434146700
01/01/2002,1.9613082173916201
01/01/2003,9.8156906297965403
01/01/2004,11.6240355442426004
01/01/2005,10.3127783574683001
01/01/2006,14.4537342081708005
01/01/2007,9.7588802302752899
01/01/2008,26.2398166445062984
01/01/2009,9.2341259239465199
01/01/2010,3.9613888911538497
01/01/2011,14.0224913014703993
01/01/2012,9.3777700354759812
01/01/2013,5.7174935703773295
01/01/2014,6.8781549927594892
01/01/2015,6.5821542928477905
01/01/2016,6.2972495381462492
01/01/2017,8.0056496770994503
01/01/2018,4.6898064677633000
01/01/2019,5.2396379576479202
01/01/2020,5.4051620793339197
01/01/2021,6.1079360365917603
01/01/2022,7.6598626827222400
01/01/2023,7.6713963402940193