input,measure,Unit,Date,Value
TOTAL INPUTS,Price Indices,,2018,100
TOTAL INPUTS,Price Indices,,2019,98.6
TOTAL INPUTS,Price Indices,,2020,76.3
TOTAL INPUTS,Price Indices,,2021,120.2
TOTAL INPUTS,Price Indices,,2022,167.3
Total Material Inputs,Price Indices,,2018,100
Total Material Inputs,Price Indices,,2019,97.9
Total Material Inputs,Price Indices,,2020,84.3
Total Material Inputs,Price Indices,,2021,101.8
Total Material Inputs,Price Indices,,2022,141.8
Fertilizers,Price Indices,,2018,100
Fertilizers,Price Indices,,2019,86.1
Fertilizers,Price Indices,,2020,83.5
Fertilizers,Price Indices,,2021,100.4
Fertilizers,Price Indices,,2022,210.3
Fuel and Power,Price Indices,,2018,100
Fuel and Power,Price Indices,,2019,83.3
Fuel and Power,Price Indices,,2020,79.7
Fuel and Power,Price Indices,,2021,116
Fuel and Power,Price Indices,,2022,134.1
Bags,Price Indices,,2018,100
Bags,Price Indices,,2019,86.5
Bags,Price Indices,,2020,86.4
Bags,Price Indices,,2021,91.3
Bags,Price Indices,,2022,105.9
Manufactured Feeds,Price Indices,,2018,100
Manufactured Feeds,Price Indices,,2019,106.3
Manufactured Feeds,Price Indices,,2020,73.7
Manufactured Feeds,Price Indices,,2021,82.3
Manufactured Feeds,Price Indices,,2022,121.4
Certified Seeds,Price Indices,,2018,100
Certified Seeds,Price Indices,,2019,139.9
Certified Seeds,Price Indices,,2020,135.6
Certified Seeds,Price Indices,,2021,168.8
Certified Seeds,Price Indices,,2022,224.6
Other Material Inputs,Price Indices,,2018,100
Other Material Inputs,Price Indices,,2019,115
Other Material Inputs,Price Indices,,2020,79.7
Other Material Inputs,Price Indices,,2021,128.4
Other Material Inputs,Price Indices,,2022,162.4
Service Inputs,Price Indices,,2018,100
Service Inputs,Price Indices,,2019,109
Service Inputs,Price Indices,,2020,110
Service Inputs,Price Indices,,2021,111
Service Inputs,Price Indices,,2022,153.8