date,series,value
1997,goods,169527
1998,goods,163776
1999,goods,166343
2000,goods,186824
2001,goods,190682
2002,goods,187459
2003,goods,187883
2004,goods,191062
2005,goods,212494
2006,goods,246418
2007,goods,222825
2008,goods,252593
2009,goods,227951
2010,goods,265896
2011,goods,302569
2012,goods,298431
2013,goods,299730
2014,goods,289173
2015,goods,280904
2016,goods,299398
2017,goods,339925
2018,goods,354004
2019,goods,368203
2020,goods,313750
2021,goods,332135
2022,goods,434123
2023,goods,393516
1997,services,76156
1998,services,80154
1999,services,87222
2000,services,95627
2001,services,102123
2002,services,104567
2003,services,114828
2004,services,127327
2005,services,140991
2006,services,158571
2007,services,171236
2008,services,185742
2009,services,188391
2010,services,198280
2011,services,219278
2012,services,226284
2013,services,239834
2014,services,243063
2015,services,252750
2016,services,276234
2017,services,303361
2018,services,325696
2019,services,338493
2020,services,310350
2021,services,334751
2022,services,413928
2023,services,467718