Year,FDI net inflows,IMF credit,Personal remittances,Foreign reserves
1975,17158747,80251485,13200000,173405884
1976,46371851,98790405,9900000,275522172
1977,56545226,64119682,18480000,525784883
1978,34414130,94041896,26400000,368830302
1979,84009903,188034367,19139999,668545449
1980,78973746,253896083,27719999,538712189
1981,14147557,258599036,78540001,262828032
1982,13000895,393464494,67980003,248102847
1983,23738843,464237305,58080002,406428159
1984,10753527,419810230,56759998,414388462
1985,28845949,521810030,66000000,416724735
1986,32725777,459803182,52139999,444494690
1987,39381344,401317634,66000000,294401563
1988,394431,455445437,76559998,296453946
1989,62189917,415432259,89099999,316624629
1990,57081096,482115289,139259995,236115155
1991,18830977,493272361,124080002,145138376
1992,6363133,393368250,114839996,79549253
1993,145655517,363089585,118139999,436745056
1994,7432413,404747779,137279999,588142007
1995,42289248,373788319,87497853,384262966
1996,108672932,337223196,87542881,775927062
1997,62096810,250423491,506615137,811092756
1998,26548246,196459615,531912793,783051364
1999,51953456,182248736,584854297,791589618
2000,110904550,174880489,537900024,897865882
2001,5302623,145325744,50914426,1064987677
2002,27618447,138136749,57143480,1068140537
2003,81738243,167284559,65845295,1482117159
2004,46063931,160065635,375811334,1519538697
2005,21211685,211650589,424991046,1799087913
2006,50674725,208916028,570459274,2416073243
2007,729044146,327348788,645207871,3355419016
2008,95585680,308716316,667317334,2878951355
2009,116257609,857631721,631460883,3849500809
2010,178064607,816750541,685757272,4320858499
2011,1450474757,1099534525,934149203,4265145710
2012,1380173662,1292972531,1211021439,5711831325
2013,1118825000,1470879637,1304277231,6598881869
2014,820937598,1327897900,1440846250,7874414432
2015,619724465,1204763865,1569267850,7514864907
2016,469533311,1103364325,1744639175,7553884913
2017,1346085345,1046744358,1962273106,7325420063
2018,767761507,878613103,2720366061,8164380806
2019,469940267,719708169,2838192215,9115806005
2020,-5403752,1390662740,3107932253,8297263559
2021,419719613,2912915872,3770089639,9490896581
2022,791581760,3389104116,4059710201,7969488013
2023,728766609,3799188290,4227611606,7341776190