Year,Current Account Balance,External debt stock,FDI net inflows,Foreign Reserves,IMF Credit,Multilateral debt,Personal remittances,GDP (constant LCU),GDP (current US$),GDP growth (annual %)
1975,-214892885,1290219777,17158747,173405884,80251485,187125000,13200000,1549169747100,2969958812,4.07
1976,-118502397,1493325017,46371851,275522172,98790405,264084000,9900000,1562836571800,3259345083,0.88
1977,36730232,1658887244,56545226,525784883,64119682,313743000,18480000,1596499516800,3474542392,2.15
1978,-659234149,2173728428,34414130,368830302,94041896,368253000,26400000,1747429353700,4494378764,9.45
1979,-492791450,2720995168,84009903,668545449,188034367,422638000,19139999,1868220295000,5303735111,6.91
1980,-876258181,3386803514,78973746,538712189,253896083,528280000,27719999,2010489493500,6234391113,7.62
1981,-561591703,3228165912,14147557,262828032,258599036,585511132,78540001,2122915587600,7265315820,5.59
1982,-305337920,3367814484,13000895,248102847,393464494,742262050,67980003,2203024745500,6854491706,3.77
1983,-47252317,3628284466,23738843,406428159,464237305,840297772,58080002,2236212834300,6431579357,1.51
1984,-126891624,3511509910,10753527,414388462,419810230,946066998,56759998,2265485983800,5979198314,1.31
1985,-115018658,4181365916,28845949,416724735,521810030,1159344154,66000000,2305250178400,6191437070,1.76
1986,-44990239,4603589574,32725777,444494690,459803182,1382122297,52139999,2404388887400,6135034214,4.30
1987,-502051365,5783681917,39381344,294401563,401317634,1681416579,66000000,2576965231600,7239126568,7.18
1988,-471288267,5809644179,394431,296453946,455445437,1645743712,76559998,2729962426200,7970820369,5.94
1989,-590420206,5889233568,62189917,316624629,415432259,1782110348,89099999,2899307013800,8355380879,6.20
1990,-527083700,7055158929,57081096,236115155,482115289,2056036019,139259995,3035294624600,8283114514,4.69
1991,-213320796,7453499318,18830977,145138376,493272361,2153452067,124080002,3162535722400,8572359038,4.19
1992,-180154267,6898195692,6363133,79549253,393368250,2066801000,114839996,3208023953500,8151488783,1.44
1993,-261869236,7111518961,145655517,436745056,363089585,2197331000,118139999,3182375995800,8209120763,-0.80
1994,-448915490,7124419831,7432413,588142007,404747779,2290075000,137279999,3193616060500,5751786643,0.35
1995,-1578240552,7309198401,42289248,384262966,373788319,2411887000,87497853,3277697089700,7148148564,2.63
1996,-961189673,6813721635,108672932,775927062,337223196,2374843000,87542881,3422119520500,9046320255,4.41
1997,-1790669371,6465020215,62096810,811092756,250423491,2245323000,506615137,3564029316600,12045865396,4.15
1998,-2632734196,6823161839,26548246,783051364,196459615,2364431000,531912793,3580954960300,13115764358,0.47
1999,-2365219130,6524904618,51953456,791589618,182248736,2310621000,584854297,3698776031800,14093998844,3.29
2000,-199391622,6147150098,110904550,897865882,174880489,2309409000,537900024,3784047192600,12896010459,2.31
2001,-320276834,5495276586,5302623,1064987677,145325744,2286842000,50914426,3806739949200,12705350098,0.60
2002,-117669074,6095869528,27618447,1068140537,138136749,2459856000,57143480,3950631159900,12986007426,3.78
2003,132419235,6715084651,81738243,1482117159,167284559,2741964000,65845295,3972235562900,13147736899,0.55
2004,-131773011,6916593411,46063931,1519538697,160065635,2882726000,375811334,4088720399400,14904517650,2.93
2005,-252316724,6501013209,21211685,1799087913,211650589,2663224000,424991046,4297420945600,16095337094,5.10
2006,-510433478,6719657604,50674725,2416073243,208916028,2764089000,570459274,4551255250900,18737895513,5.91
2007,-1032048241,7576695048,729044146,3355419016,327348788,2968119000,645207871,4845834987600,25825512284,6.47
2008,-1982595677,7691776549,95585680,2878951355,308716316,3050475000,667317334,5177810047700,31958195182,6.85
2009,-1688505911,8585721249,116257609,3849500809,857631721,3156096000,631460883,5189837207000,35895153328,0.23
2010,-2368671950,8885235533,178064607,4320858499,816750541,3237614000,685757272,5361462000000,42347217913,3.31
2011,-3819304011,10042095566,1450474757,4265145710,1099534525,3388428000,934149203,5793514000000,45405615064,8.06
2012,-4216145263,11832175543,1380173662,5711831325,1292972531,3585785000,1211021439,6090206000000,46869473151,5.12
2013,-4842146888,13775500739,1118825000,6598881869,1470879637,3982522000,1304277231,6368448000000,56396704672,4.57
2014,-6377926517,16911742537,820937598,7874414432,1327897900,4199127000,1440846250,6610312000000,61671440408,3.80
2015,-4420811285,19783760502,619724465,7514864907,1204763865,4381759000,1569267850,6942157000000,68285796514,5.02
2016,-4037779793,21057671043,469533311,7553884913,1103364325,4567712000,1744639175,7287024000000,70120446897,4.97
2017,-5739957846,26951349499,1346085345,7325420063,1046744358,5303104000,1962273106,7594064000000,74815144164,4.21
2018,-4989164831,31433802016,767761507,8164380806,878613103,5801797000,2720366061,7885521000000,82036510877,3.84
2019,-5258353851,34970099590,469940267,9115806005,719708169,7124964000,2838192215,8330891000000,92202979985,5.65
2020,-3730512497,38038451074,-5403752,8297263559,1390662740,9333613000,3107932253,8756946000000,100378436207,5.11
2021,-5596631178,41219100012,419719613,9490896581,2912915872,10228332000,3770089639,8733060000000,100657505751,-0.27
2022,-5889413352,41556299640,791581760,7969488013,3389104116,11052655000,4059710201,9395942000000,109703658905,7.59
2023,-4317073674,42910026054,728766609,7341776190,3799188290,12464757000,4227611606,9852583000000,114448978153,4.86
,,,,,,,,,,